Date,Province_name,Confirmed
2020/1/22,Australian Capital Territory,0
2020/1/23,Australian Capital Territory,0
2020/1/24,Australian Capital Territory,0
2020/1/25,Australian Capital Territory,0
2020/1/26,Australian Capital Territory,0
2020/1/27,Australian Capital Territory,0
2020/1/28,Australian Capital Territory,0
2020/1/29,Australian Capital Territory,0
2020/1/30,Australian Capital Territory,0
2020/1/31,Australian Capital Territory,0
2020/2/1,Australian Capital Territory,0
2020/2/2,Australian Capital Territory,0
2020/2/3,Australian Capital Territory,0
2020/2/4,Australian Capital Territory,0
2020/2/5,Australian Capital Territory,0
2020/2/6,Australian Capital Territory,0
2020/2/7,Australian Capital Territory,0
2020/2/8,Australian Capital Territory,0
2020/2/9,Australian Capital Territory,0
2020/2/10,Australian Capital Territory,0
2020/2/11,Australian Capital Territory,0
2020/2/12,Australian Capital Territory,0
2020/2/13,Australian Capital Territory,0
2020/2/14,Australian Capital Territory,0
2020/2/15,Australian Capital Territory,0
2020/2/16,Australian Capital Territory,0
2020/2/17,Australian Capital Territory,0
2020/2/18,Australian Capital Territory,0
2020/2/19,Australian Capital Territory,0
2020/2/20,Australian Capital Territory,0
2020/2/21,Australian Capital Territory,0
2020/2/22,Australian Capital Territory,0
2020/2/23,Australian Capital Territory,0
2020/2/24,Australian Capital Territory,0
2020/2/25,Australian Capital Territory,0
2020/2/26,Australian Capital Territory,0
2020/2/27,Australian Capital Territory,0
2020/2/28,Australian Capital Territory,0
2020/2/29,Australian Capital Territory,0
2020/3/1,Australian Capital Territory,0
2020/3/2,Australian Capital Territory,0
2020/3/3,Australian Capital Territory,0
2020/3/4,Australian Capital Territory,0
2020/3/5,Australian Capital Territory,0
2020/3/6,Australian Capital Territory,0
2020/3/7,Australian Capital Territory,0
2020/3/8,Australian Capital Territory,0
2020/3/9,Australian Capital Territory,0
2020/3/10,Australian Capital Territory,0
2020/3/11,Australian Capital Territory,0
2020/3/12,Australian Capital Territory,0
2020/3/13,Australian Capital Territory,1
2020/3/14,Australian Capital Territory,1
2020/3/15,Australian Capital Territory,1
2020/3/16,Australian Capital Territory,2
2020/3/17,Australian Capital Territory,2
2020/3/18,Australian Capital Territory,3
2020/3/19,Australian Capital Territory,4
2020/3/20,Australian Capital Territory,6
2020/3/21,Australian Capital Territory,9
2020/3/22,Australian Capital Territory,19
2020/3/23,Australian Capital Territory,32
2020/3/24,Australian Capital Territory,39
2020/3/25,Australian Capital Territory,39
2020/3/26,Australian Capital Territory,53
2020/3/27,Australian Capital Territory,62
2020/3/28,Australian Capital Territory,71
2020/3/29,Australian Capital Territory,77
2020/3/30,Australian Capital Territory,78
2020/3/31,Australian Capital Territory,80
2020/4/1,Australian Capital Territory,84
2020/4/2,Australian Capital Territory,87
2020/4/3,Australian Capital Territory,91
2020/4/4,Australian Capital Territory,93
2020/4/5,Australian Capital Territory,96
2020/4/6,Australian Capital Territory,96
2020/4/7,Australian Capital Territory,96
2020/4/8,Australian Capital Territory,99
2020/4/9,Australian Capital Territory,100
2020/4/10,Australian Capital Territory,103
2020/4/11,Australian Capital Territory,103
2020/4/12,Australian Capital Territory,103
2020/4/13,Australian Capital Territory,102
2020/4/14,Australian Capital Territory,103
2020/4/15,Australian Capital Territory,103
2020/4/16,Australian Capital Territory,103
2020/4/17,Australian Capital Territory,103
2020/4/18,Australian Capital Territory,103
2020/4/19,Australian Capital Territory,103
2020/4/20,Australian Capital Territory,104
2020/4/21,Australian Capital Territory,104
2020/4/22,Australian Capital Territory,104
2020/4/23,Australian Capital Territory,104
2020/4/24,Australian Capital Territory,105
2020/4/25,Australian Capital Territory,106
2020/4/26,Australian Capital Territory,106
2020/4/27,Australian Capital Territory,106
2020/4/28,Australian Capital Territory,106
2020/4/29,Australian Capital Territory,106
2020/4/30,Australian Capital Territory,106
2020/5/1,Australian Capital Territory,106
2020/5/2,Australian Capital Territory,106
2020/5/3,Australian Capital Territory,106
2020/5/4,Australian Capital Territory,107
2020/5/5,Australian Capital Territory,107
2020/5/6,Australian Capital Territory,107
2020/5/7,Australian Capital Territory,107
2020/5/8,Australian Capital Territory,107
2020/5/9,Australian Capital Territory,107
2020/5/10,Australian Capital Territory,107
2020/5/11,Australian Capital Territory,107
2020/5/12,Australian Capital Territory,107
2020/5/13,Australian Capital Territory,107
2020/5/14,Australian Capital Territory,107
2020/5/15,Australian Capital Territory,107
2020/5/16,Australian Capital Territory,107
2020/5/17,Australian Capital Territory,107
2020/5/18,Australian Capital Territory,107
2020/5/19,Australian Capital Territory,107
2020/5/20,Australian Capital Territory,107
2020/5/21,Australian Capital Territory,107
2020/5/22,Australian Capital Territory,107
2020/5/23,Australian Capital Territory,107
2020/5/24,Australian Capital Territory,107
2020/5/25,Australian Capital Territory,107
2020/5/26,Australian Capital Territory,107
2020/5/27,Australian Capital Territory,107
2020/5/28,Australian Capital Territory,107
2020/5/29,Australian Capital Territory,107
2020/5/30,Australian Capital Territory,107
2020/5/31,Australian Capital Territory,107
2020/6/1,Australian Capital Territory,107
2020/6/2,Australian Capital Territory,107
2020/6/3,Australian Capital Territory,107
2020/6/4,Australian Capital Territory,107
2020/6/5,Australian Capital Territory,107
2020/6/6,Australian Capital Territory,108
2020/6/7,Australian Capital Territory,108
2020/6/8,Australian Capital Territory,108
2020/6/9,Australian Capital Territory,108
2020/6/10,Australian Capital Territory,108
2020/6/11,Australian Capital Territory,108
2020/6/12,Australian Capital Territory,108
2020/6/13,Australian Capital Territory,108
2020/6/14,Australian Capital Territory,108
2020/6/15,Australian Capital Territory,108
2020/6/16,Australian Capital Territory,108
2020/6/17,Australian Capital Territory,108
2020/6/18,Australian Capital Territory,108
2020/6/19,Australian Capital Territory,108
2020/6/20,Australian Capital Territory,108
2020/6/21,Australian Capital Territory,108
2020/6/22,Australian Capital Territory,108
2020/6/23,Australian Capital Territory,108
2020/6/24,Australian Capital Territory,108
2020/6/25,Australian Capital Territory,108
2020/6/26,Australian Capital Territory,108
2020/6/27,Australian Capital Territory,108
2020/6/28,Australian Capital Territory,108
2020/6/29,Australian Capital Territory,108
2020/6/30,Australian Capital Territory,108
2020/7/1,Australian Capital Territory,108
2020/7/2,Australian Capital Territory,108
2020/7/3,Australian Capital Territory,108
2020/7/4,Australian Capital Territory,108
2020/7/5,Australian Capital Territory,108
2020/7/6,Australian Capital Territory,108
2020/7/7,Australian Capital Territory,111
2020/7/8,Australian Capital Territory,112
2020/7/9,Australian Capital Territory,113
2020/7/10,Australian Capital Territory,113
2020/7/11,Australian Capital Territory,113
2020/7/12,Australian Capital Territory,113
2020/7/13,Australian Capital Territory,113
2020/7/14,Australian Capital Territory,113
2020/7/15,Australian Capital Territory,113
2020/7/16,Australian Capital Territory,113
2020/7/17,Australian Capital Territory,113
2020/7/18,Australian Capital Territory,113
2020/7/19,Australian Capital Territory,113
2020/7/20,Australian Capital Territory,113
2020/7/21,Australian Capital Territory,113
2020/7/22,Australian Capital Territory,113
2020/7/23,Australian Capital Territory,113
2020/7/24,Australian Capital Territory,113
2020/7/25,Australian Capital Territory,113
2020/7/26,Australian Capital Territory,113
2020/7/27,Australian Capital Territory,113
2020/7/28,Australian Capital Territory,113
2020/7/29,Australian Capital Territory,113
2020/7/30,Australian Capital Territory,113
2020/7/31,Australian Capital Territory,113
2020/8/1,Australian Capital Territory,113
2020/8/2,Australian Capital Territory,113
2020/8/3,Australian Capital Territory,113
2020/8/4,Australian Capital Territory,113
2020/8/5,Australian Capital Territory,113
2020/8/6,Australian Capital Territory,113
2020/8/7,Australian Capital Territory,113
2020/8/8,Australian Capital Territory,113
2020/8/9,Australian Capital Territory,113
2020/8/10,Australian Capital Territory,113
2020/8/11,Australian Capital Territory,113
2020/8/12,Australian Capital Territory,113
2020/8/13,Australian Capital Territory,113
2020/8/14,Australian Capital Territory,113
2020/8/15,Australian Capital Territory,113
2020/8/16,Australian Capital Territory,113
2020/8/17,Australian Capital Territory,113
2020/8/18,Australian Capital Territory,113
2020/8/19,Australian Capital Territory,113
2020/8/20,Australian Capital Territory,113
2020/8/21,Australian Capital Territory,113
2020/8/22,Australian Capital Territory,113
2020/8/23,Australian Capital Territory,113
2020/8/24,Australian Capital Territory,113
2020/8/25,Australian Capital Territory,113
2020/8/26,Australian Capital Territory,113
2020/8/27,Australian Capital Territory,113
2020/8/28,Australian Capital Territory,113
2020/8/29,Australian Capital Territory,113
2020/8/30,Australian Capital Territory,113
2020/8/31,Australian Capital Territory,113
2020/9/1,Australian Capital Territory,113
2020/9/2,Australian Capital Territory,113
2020/9/3,Australian Capital Territory,113
2020/9/4,Australian Capital Territory,113
2020/9/5,Australian Capital Territory,113
2020/9/6,Australian Capital Territory,113
2020/9/7,Australian Capital Territory,113
2020/9/8,Australian Capital Territory,113
2020/9/9,Australian Capital Territory,113
2020/9/10,Australian Capital Territory,113
2020/9/11,Australian Capital Territory,113
2020/9/12,Australian Capital Territory,113
2020/9/13,Australian Capital Territory,113
2020/9/14,Australian Capital Territory,113
2020/9/15,Australian Capital Territory,113
2020/9/16,Australian Capital Territory,113
2020/9/17,Australian Capital Territory,113
2020/9/18,Australian Capital Territory,113
2020/9/19,Australian Capital Territory,113
2020/9/20,Australian Capital Territory,113
2020/9/21,Australian Capital Territory,113
2020/9/22,Australian Capital Territory,113
2020/9/23,Australian Capital Territory,113
2020/9/24,Australian Capital Territory,113
2020/9/25,Australian Capital Territory,113
2020/9/26,Australian Capital Territory,113
2020/9/27,Australian Capital Territory,113
2020/9/28,Australian Capital Territory,113
2020/9/29,Australian Capital Territory,113
2020/9/30,Australian Capital Territory,113
2020/10/1,Australian Capital Territory,113
2020/10/2,Australian Capital Territory,113
2020/10/3,Australian Capital Territory,113
2020/10/4,Australian Capital Territory,113
2020/10/5,Australian Capital Territory,113
2020/10/6,Australian Capital Territory,113
2020/10/7,Australian Capital Territory,113
2020/10/8,Australian Capital Territory,113
2020/10/9,Australian Capital Territory,113
2020/10/10,Australian Capital Territory,113
2020/10/11,Australian Capital Territory,113
2020/10/12,Australian Capital Territory,113
2020/10/13,Australian Capital Territory,113
2020/10/14,Australian Capital Territory,113
2020/10/15,Australian Capital Territory,113
2020/10/16,Australian Capital Territory,113
2020/10/17,Australian Capital Territory,113
2020/10/18,Australian Capital Territory,113
2020/10/19,Australian Capital Territory,113
