Date,Country_name,Confirmed
2020/1/22,Afghanistan,0
2020/1/23,Afghanistan,0
2020/1/24,Afghanistan,0
2020/1/25,Afghanistan,0
2020/1/26,Afghanistan,0
2020/1/27,Afghanistan,0
2020/1/28,Afghanistan,0
2020/1/29,Afghanistan,0
2020/1/30,Afghanistan,0
2020/1/31,Afghanistan,0
2020/2/1,Afghanistan,0
2020/2/2,Afghanistan,0
2020/2/3,Afghanistan,0
2020/2/4,Afghanistan,0
2020/2/5,Afghanistan,0
2020/2/6,Afghanistan,0
2020/2/7,Afghanistan,0
2020/2/8,Afghanistan,0
2020/2/9,Afghanistan,0
2020/2/10,Afghanistan,0
2020/2/11,Afghanistan,0
2020/2/12,Afghanistan,0
2020/2/13,Afghanistan,0
2020/2/14,Afghanistan,0
2020/2/15,Afghanistan,0
2020/2/16,Afghanistan,0
2020/2/17,Afghanistan,0
2020/2/18,Afghanistan,0
2020/2/19,Afghanistan,0
2020/2/20,Afghanistan,0
2020/2/21,Afghanistan,0
2020/2/22,Afghanistan,0
2020/2/23,Afghanistan,0
2020/2/24,Afghanistan,1
2020/2/25,Afghanistan,1
2020/2/26,Afghanistan,1
2020/2/27,Afghanistan,1
2020/2/28,Afghanistan,1
2020/2/29,Afghanistan,1
2020/3/1,Afghanistan,1
2020/3/2,Afghanistan,1
2020/3/3,Afghanistan,2
2020/3/4,Afghanistan,4
2020/3/5,Afghanistan,4
2020/3/6,Afghanistan,4
2020/3/7,Afghanistan,4
2020/3/8,Afghanistan,5
2020/3/9,Afghanistan,7
2020/3/10,Afghanistan,8
2020/3/11,Afghanistan,11
2020/3/12,Afghanistan,12
2020/3/13,Afghanistan,13
2020/3/14,Afghanistan,15
2020/3/15,Afghanistan,16
2020/3/16,Afghanistan,18
2020/3/17,Afghanistan,20
2020/3/18,Afghanistan,24
2020/3/19,Afghanistan,25
2020/3/20,Afghanistan,29
2020/3/21,Afghanistan,30
2020/3/22,Afghanistan,34
2020/3/23,Afghanistan,41
2020/3/24,Afghanistan,43
2020/3/25,Afghanistan,76
2020/3/26,Afghanistan,80
2020/3/27,Afghanistan,91
2020/3/28,Afghanistan,107
2020/3/29,Afghanistan,118
2020/3/30,Afghanistan,146
2020/3/31,Afghanistan,175
2020/4/1,Afghanistan,197
2020/4/2,Afghanistan,240
2020/4/3,Afghanistan,275
2020/4/4,Afghanistan,300
2020/4/5,Afghanistan,338
2020/4/6,Afghanistan,368
2020/4/7,Afghanistan,424
2020/4/8,Afghanistan,445
2020/4/9,Afghanistan,485
2020/4/10,Afghanistan,532
2020/4/11,Afghanistan,556
2020/4/12,Afghanistan,608
2020/4/13,Afghanistan,666
2020/4/14,Afghanistan,715
2020/4/15,Afghanistan,785
2020/4/16,Afghanistan,841
2020/4/17,Afghanistan,907
2020/4/18,Afghanistan,934
2020/4/19,Afghanistan,997
2020/4/20,Afghanistan,1027
2020/4/21,Afghanistan,1093
2020/4/22,Afghanistan,1177
2020/4/23,Afghanistan,1236
2020/4/24,Afghanistan,1331
2020/4/25,Afghanistan,1464
2020/4/26,Afghanistan,1532
2020/4/27,Afghanistan,1704
2020/4/28,Afghanistan,1830
2020/4/29,Afghanistan,1940
2020/4/30,Afghanistan,2127
2020/5/1,Afghanistan,2291
2020/5/2,Afghanistan,2470
2020/5/3,Afghanistan,2705
2020/5/4,Afghanistan,2895
2020/5/5,Afghanistan,3225
2020/5/6,Afghanistan,3393
2020/5/7,Afghanistan,3564
2020/5/8,Afghanistan,3781
2020/5/9,Afghanistan,4042
2020/5/10,Afghanistan,4403
2020/5/11,Afghanistan,4687
2020/5/12,Afghanistan,4968
2020/5/13,Afghanistan,5227
2020/5/14,Afghanistan,5640
2020/5/15,Afghanistan,6054
2020/5/16,Afghanistan,6403
2020/5/17,Afghanistan,6665
2020/5/18,Afghanistan,7073
2020/5/19,Afghanistan,7654
2020/5/20,Afghanistan,8146
2020/5/21,Afghanistan,8677
2020/5/22,Afghanistan,9219
2020/5/23,Afghanistan,10001
2020/5/24,Afghanistan,10585
2020/5/25,Afghanistan,11176
2020/5/26,Afghanistan,11834
2020/5/27,Afghanistan,12459
2020/5/28,Afghanistan,13039
2020/5/29,Afghanistan,13662
2020/5/30,Afghanistan,14528
2020/5/31,Afghanistan,15208
2020/6/1,Afghanistan,15753
2020/6/2,Afghanistan,16512
2020/6/3,Afghanistan,17270
2020/6/4,Afghanistan,18057
2020/6/5,Afghanistan,18972
2020/6/6,Afghanistan,19554
2020/6/7,Afghanistan,20345
2020/6/8,Afghanistan,20920
2020/6/9,Afghanistan,21462
2020/6/10,Afghanistan,22146
2020/6/11,Afghanistan,22894
2020/6/12,Afghanistan,23550
2020/6/13,Afghanistan,24106
2020/6/14,Afghanistan,24770
2020/6/15,Afghanistan,25531
2020/6/16,Afghanistan,26314
2020/6/17,Afghanistan,26878
2020/6/18,Afghanistan,27536
2020/6/19,Afghanistan,27882
2020/6/20,Afghanistan,28428
2020/6/21,Afghanistan,28837
2020/6/22,Afghanistan,29147
2020/6/23,Afghanistan,29471
2020/6/24,Afghanistan,29705
2020/6/25,Afghanistan,30165
2020/6/26,Afghanistan,30441
2020/6/27,Afghanistan,30606
2020/6/28,Afghanistan,30957
2020/6/29,Afghanistan,31228
2020/6/30,Afghanistan,31507
2020/7/1,Afghanistan,31826
2020/7/2,Afghanistan,32012
2020/7/3,Afghanistan,32314
2020/7/4,Afghanistan,32662
2020/7/5,Afghanistan,32941
2020/7/6,Afghanistan,33180
2020/7/7,Afghanistan,33374
2020/7/8,Afghanistan,33584
2020/7/9,Afghanistan,33898
2020/7/10,Afghanistan,34184
2020/7/11,Afghanistan,34356
2020/7/12,Afghanistan,34441
2020/7/13,Afghanistan,34595
2020/7/14,Afghanistan,34730
2020/7/15,Afghanistan,34984
2020/7/16,Afghanistan,35060
2020/7/17,Afghanistan,35219
2020/7/18,Afghanistan,35279
2020/7/19,Afghanistan,35453
2020/7/20,Afghanistan,35493
2020/7/21,Afghanistan,35605
2020/7/22,Afghanistan,35717
2020/7/23,Afghanistan,35918
2020/7/24,Afghanistan,35978
2020/7/25,Afghanistan,36026
2020/7/26,Afghanistan,36147
2020/7/27,Afghanistan,36253
2020/7/28,Afghanistan,36358
2020/7/29,Afghanistan,36463
2020/7/30,Afghanistan,36532
2020/7/31,Afghanistan,36665
2020/8/1,Afghanistan,36700
2020/8/2,Afghanistan,36701
2020/8/3,Afghanistan,36737
2020/8/4,Afghanistan,36773
2020/8/5,Afghanistan,36820
2020/8/6,Afghanistan,36928
2020/8/7,Afghanistan,37006
2020/8/8,Afghanistan,37046
2020/8/9,Afghanistan,37083
2020/8/10,Afghanistan,37153
2020/8/11,Afghanistan,37260
2020/8/12,Afghanistan,37336
2020/8/13,Afghanistan,37422
2020/8/14,Afghanistan,37497
2020/8/15,Afghanistan,37542
2020/8/16,Afghanistan,37590
2020/8/17,Afghanistan,37667
2020/8/18,Afghanistan,37710
2020/8/19,Afghanistan,37750
2020/8/20,Afghanistan,37852
2020/8/21,Afghanistan,37885
2020/8/22,Afghanistan,37944
2020/8/23,Afghanistan,37990
2020/8/24,Afghanistan,38045
2020/8/25,Afghanistan,38061
2020/8/26,Afghanistan,38103
2020/8/27,Afghanistan,38119
2020/8/28,Afghanistan,38130
2020/8/29,Afghanistan,38133
2020/8/30,Afghanistan,38155
2020/8/31,Afghanistan,38159
2020/9/1,Afghanistan,38193
2020/9/2,Afghanistan,38243
2020/9/3,Afghanistan,38288
2020/9/4,Afghanistan,38304
2020/9/5,Afghanistan,38324
2020/9/6,Afghanistan,38398
2020/9/7,Afghanistan,38494
2020/9/8,Afghanistan,38520
2020/9/9,Afghanistan,38544
2020/9/10,Afghanistan,38572
2020/9/11,Afghanistan,38606
2020/9/12,Afghanistan,38641
2020/9/13,Afghanistan,38716
2020/9/14,Afghanistan,38772
2020/9/15,Afghanistan,38815
2020/9/16,Afghanistan,38855
2020/9/17,Afghanistan,38872
2020/9/18,Afghanistan,38897
2020/9/19,Afghanistan,38919
2020/9/20,Afghanistan,39044
2020/9/21,Afghanistan,39074
2020/9/22,Afghanistan,39096
2020/9/23,Afghanistan,39145
2020/9/24,Afghanistan,39170
2020/9/25,Afghanistan,39186
